2025-08-12 00:42:31,003 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,004 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,005 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,005 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,006 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,006 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,007 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,007 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,007 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,007 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,008 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,008 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,009 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,009 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,010 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,010 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,010 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,010 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,011 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,011 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,012 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,012 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,013 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,013 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,013 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,013 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,014 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,014 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,015 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,015 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,016 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,016 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,016 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,016 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,017 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,017 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,018 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,018 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,019 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,019 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,019 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,019 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,020 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,020 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,021 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,021 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,022 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,022 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,022 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,022 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,023 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,023 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,024 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,024 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,024 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,024 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,025 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,025 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,026 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,026 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,027 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,027 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,027 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,027 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,028 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,028 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,029 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,029 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,030 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,030 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,030 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,030 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,031 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,031 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,032 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,032 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,033 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,033 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,034 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,034 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,034 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,035 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,035 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,035 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,036 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,036 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,037 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,037 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,037 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,037 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,038 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,038 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,039 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,039 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,040 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,040 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,040 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,040 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,041 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,041 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,042 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,042 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,043 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,043 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,043 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,043 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,044 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,044 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,045 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,045 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,046 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,046 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,046 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,047 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,047 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,047 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,048 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,048 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,049 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,049 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,049 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,049 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,050 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,050 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,051 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,051 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,052 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,052 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,052 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,052 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,053 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,053 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,054 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,054 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,055 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,055 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,055 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,055 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,056 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,056 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,057 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,057 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,057 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,058 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,058 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,058 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,059 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,059 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,060 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,060 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,060 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,061 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,061 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,061 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,062 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,062 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-12 00:42:31,063 camera.py, line 82, ERROR:read:读取图像错误!!!!
