2025-08-18 23:14:54,485 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,487 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,487 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,487 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,488 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,488 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,489 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,489 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,489 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,490 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,490 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,490 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,491 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,491 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,492 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,492 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,492 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,493 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,493 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,493 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,494 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,494 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,494 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,495 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,495 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,495 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,496 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,496 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,496 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,497 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,498 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,498 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,499 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,499 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,500 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,500 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,500 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,501 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,501 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,501 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,502 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,502 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,503 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,503 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,503 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,504 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,504 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,505 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,505 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,506 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,506 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,506 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,507 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,507 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,507 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,508 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,508 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,509 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,509 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,510 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,510 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,510 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,511 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,511 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,512 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,512 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,512 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,513 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,514 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,514 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,515 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,515 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,515 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,516 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,516 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,516 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,517 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,517 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,517 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,519 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,519 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-18 23:14:54,520 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
