2025-08-19 12:13:55,728 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,730 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,731 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,731 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,732 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,732 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,732 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,733 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,733 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,734 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,734 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,735 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,735 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,735 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,736 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,736 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,737 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,737 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,737 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,738 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,738 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,739 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,739 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,739 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,740 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,740 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,741 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,741 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,741 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,742 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,742 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,743 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,743 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,744 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,744 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,744 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,745 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,745 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,745 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,746 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,746 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,747 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,747 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,748 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,748 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,748 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,749 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,749 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,750 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,750 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,751 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,751 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,752 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,752 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,752 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,753 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,753 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,753 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,754 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,754 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,755 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,755 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,756 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,756 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,756 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,757 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,757 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,757 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,758 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,758 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,759 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,759 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,759 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,760 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,760 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,761 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,761 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,761 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,762 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,762 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,763 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,763 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,764 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,764 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,764 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,765 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,765 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,765 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,766 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,766 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,767 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,767 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,767 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,768 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,768 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,769 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,769 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,769 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,770 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,770 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,771 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,771 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,771 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
2025-08-19 12:13:55,772 serial_wrap.py, line 83, ERROR:get_anwser error:(5, 'Input/output error')
