2025-08-20 08:37:24,893 serial_wrap.py, line 83, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-08-20 08:37:27,286 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,288 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,288 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,289 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,289 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,290 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,290 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,291 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,291 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,292 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,292 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,293 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,293 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,294 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,294 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,295 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,295 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,296 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,296 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,296 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,297 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,297 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,298 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,298 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,299 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,299 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,300 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,300 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,301 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,301 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,302 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,302 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,303 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,303 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,304 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,304 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,305 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,305 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,305 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,306 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,306 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,307 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,307 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,308 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,308 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,309 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,309 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,310 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,310 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,311 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,311 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,312 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,312 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,313 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,313 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,314 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,314 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,315 camera.py, line 82, ERROR:read:读取图像错误!!!!
